uid,uniqueId,SQ
201582,20209476,7
201582,20254008,9
201582,21007767,8
201582,21018281,2
201582,21051151,2
201582,21141274,5
201582,21151345,6
201582,21153642,3
201582,21156851,2
201582,65001493,4
201582,65001653,4
201582,65002052,3
201582,65002311,2
201582,65003167,8
201582,65003249,10
201582,65004323,4
201582,65023427,8
201582,65025578,9
201582,65025650,1
201582,65028949,10
201582,65039529,10
201582,67038339,10
201582,67041861,2
201582,67064111,2
201582,67078354,5
201582,67236805,6
201582,67345021,2
201582,67876461,2
201582,68293685,6
201582,68655497,8
201582,21031713,4
201582,21066583,4
201582,21133491,2
201582,65001423,4
201582,65002544,5
201582,65003280,1
201582,65004780,1
201582,65004913,4
201582,65023238,9
201582,65023959,10
201582,65024822,3
201582,65025166,7
201582,65025653,4
201582,65039597,8
201582,67022865,6
201582,68679102,3
201582,20095757,8
201582,20266945,6
201582,20282695,6
201582,21133489,10
201582,65001880,1
201582,65002149,10
201582,65003078,9
201582,65003295,6
201582,65003332,3
201582,65003878,9
201582,65004499,10
201582,65004850,1
201582,65024009,10
201582,67039654,5
201582,67156068,9
201582,67183310,1
201582,67353892,3
201582,68617643,4
201582,20270207,8
201582,21000782,3
201582,21007361,2
201582,21032066,7
201582,21088737,8
201582,21145897,8
201582,21153643,4
201582,65001323,4
201582,65001325,6
201582,65001872,3
201582,65002847,8
201582,65023593,4
201582,65024655,6
201582,65039520,1
201582,67095969,10
201582,67114981,2
201582,67120941,2
201582,67128817,8
201582,67279765,6
201582,67297011,2
201582,67671811,2
201582,68926895,6
201582,69622651,2
201582,20077807,8
201582,21051984,5
201582,21082360,1
201582,21140939,10
201582,63603404,5
201582,65000301,2
201582,65001490,1
201582,65002015,6
201582,65003730,1
201582,65004333,4
201582,65004925,6
201582,65023359,10
201582,65024691,2
201582,65024889,10
201582,65025646,7
201582,67000430,1
201582,67087349,10
201582,67247615,6
201582,67250210,1
201582,67451512,3
201582,68362181,2
201582,20094741,2
201582,20276990,1
201582,20284835,6
201582,21025603,4
201582,21089518,9
201582,21156716,7
201582,65001575,6
201582,65002183,4
201582,65002229,10
201582,65021266,7
201582,65023635,6
201582,65023855,6
201582,65024754,5
201582,65025383,4
201582,65025463,4
201582,65025614,5
201582,66821271,2
201582,67136168,9
201582,67206187,8
201582,67243627,8
201582,20237416,7
201582,20269588,9
201582,20277850,1
201582,20284537,8
201582,21051990,1
201582,21123447,8
201582,65002073,4
201582,65023235,6
201582,65024463,4
201582,65024871,2
201582,65025601,2
201582,65025625,6
201582,65038291,2
201582,65039316,7
201582,67102571,2
201582,67289369,10
201582,20270204,5
201582,20276988,9
201582,20292818,9
201582,21150627,8
201582,21153902,3
201582,65002358,9
201582,65002420,1
201582,65002713,4
201582,65003166,7
201582,65004383,4
201582,65021325,6
201582,65025579,10
201582,65025585,6
201582,65038246,7
201582,65039958,9
201582,65039974,5
201582,67045158,9
201582,67084766,7
201582,67106207,8
201582,67149576,7
201582,67187851,2
201582,20277247,8
201582,21002327,8
201582,21019587,8
201582,21064057,8
201582,21093202,3
201582,62050159,10
201582,65001813,4
201582,65002140,1
201582,65002318,9
201582,65023279,10
201582,65023299,10
201582,67031427,8
201582,67031957,8
201582,67131809,10
201582,67178863,4
201582,67194185,6
201582,67526336,7
201582,67754525,6
201582,67867918,9
201582,20069039,10
201582,21056542,3
201582,21188987,8
201582,65001305,6
201582,65001343,4
201582,65001425,6
201582,65001569,10
201582,65001587,8
201582,65001907,8
201582,65024604,5
201582,67132276,7
201582,67327208,9
201582,67645374,5
201582,20064883,4
201582,20266936,7
201582,20292808,9
201582,21016622,3
201582,21041596,7
201582,21066191,2
201582,65001322,3
201582,65001970,1
201582,65002115,6
201582,65021143,4
201582,65025571,2
201582,65025621,2
201582,65039313,4
201582,67045864,5
201582,67064977,8
201582,67128810,1
201582,67147977,8
201582,67190031,2
201582,67228789,10
201582,67336083,4
201582,67714883,4
201582,67717631,2
201582,68144335,6
201582,68926892,3
201582,20257714,5
201582,20267423,4
201582,21038221,2
201582,21141222,3
201582,65002642,3
201582,65003046,7
201582,65004431,2
201582,65023897,8
201582,65023993,4
201582,65023998,9
201582,67038333,4
201582,67054452,3
201582,67099164,5
201582,67185587,8
201582,67236316,7
201582,67279577,8
201582,67326641,2
201582,68486844,5
201582,68926887,8
201582,20272688,9
201582,20277899,10
201582,21182527,8
201582,63587810,1
201582,65001732,3
201582,65003308,9
201582,65003456,7
201582,65004387,8
201582,65021261,2
201582,65024627,8
201582,65025619,10
201582,65025629,10
201582,67103204,5
201582,67236312,3
201582,67737495,6
201582,21038555,6
201582,21145007,8
201582,65000944,5
201582,65000971,2
201582,65001198,9
201582,65002820,1
201582,65003317,8
201582,65038244,5
201582,67054433,4
201582,67107026,7
201582,67311418,9
201582,67765187,8
201582,67898916,7
201582,68595091,2
201582,69647196,7
201582,20266523,4
201582,20272628,9
201582,20293286,7
201582,21025372,3
201582,21051988,9
201582,21078366,7
201582,62052075,6
201582,62071073,4
201582,65001494,5
201582,65001555,6
201582,65001749,10
201582,65003001,2
201582,65003270,1
201582,65039795,6
201582,67054425,6
201582,67077126,7
201582,67236318,9
201582,68720686,7
201582,21028785,6
201582,21031715,6
201582,21066799,10
201582,63991765,6
201582,65003264,5
201582,65003329,10
201582,65004727,8
201582,65038266,7
