uniqueId,uid,NormCode,SOQ
65000098,1067336,105,3
21087821,1067336,011,36
21038476,1067336,005,1
21131510,1067336,101,120
65025136,1067336,001,48
68362155,1067336,005,1
67017903,1067336,005,1
21141352,1067336,005,12
21038480,1067336,401,72
21031719,1067336,005,36
65000178,1067336,105,1
21135330,1067336,401,3
21088946,1067336,005,1
20296649,1067336,005,24
21028787,1067336,401,120
21031713,1067336,005,12
21087816,1067336,105,1
21031718,1067336,005,48
68362159,1067336,400,12
65000309,1067336,005,56
20280036,1067336,400,1
20260326,1067336,005,1
21068907,1067336,005,1
67613440,1067336,101,72
21189377,1067336,411,3
68362182,1067336,005,1
21031723,1067336,001,16
21038318,1067336,005,1
65000102,1067336,005,20
20271665,1067336,001,4
21087824,1067336,005,1
21038482,1067336,005,1
68362156,1067336,005,1
21188999,1067336,005,16
21087374,1067336,001,16
21031720,1067336,005,1
65000301,1067336,001,3
21038320,1067336,005,1
65025031,1067336,101,3
21141353,1067336,105,3
20276672,1067336,111,3
65000094,1067336,005,1
21090467,1067336,005,1
65000043,1067336,101,16
65000313,1067336,405,4
21038477,1067336,400,1
20271670,1067336,005,1
21141201,1067336,005,1
21031712,1067336,005,1
20093128,1067336,005,1
20276669,1067336,005,30
21090468,1067336,101,29
21038481,1067336,005,1
20098682,1067336,005,6
65000311,1067336,005,2
21189185,1067336,005,20
21141183,1067336,001,7
20260325,1067336,001,16
20271671,1067336,011,54
67158723,1067336,401,62
21051151,1067337,011,2
65036972,1067337,011,2
65000058,1067337,005,1
21051154,1067337,005,6
20103643,1067337,005,1
65000050,1067337,001,2
68594505,1067337,001,1
21038482,1067337,005,20
21141200,1067337,005,36
21087365,1067337,011,2
21068907,1067337,001,1
21189002,1067337,005,1
21090467,1067337,105,2
21038320,1067337,005,24
21031721,1067337,001,1
20280037,1067337,005,1
21028787,1067337,001,24
65000311,1067337,401,1
21152629,1067337,105,1
21135330,1067337,001,1
20260326,1067337,001,24
21031713,1067337,005,1
21141356,1067337,001,2
21087368,1067337,401,18
21088945,1067337,005,1
65000102,1067337,005,1
67052108,1067337,101,48
20271665,1067337,001,1
21087379,1067337,005,1
21087815,1067337,401,1
65000045,1067337,401,24
68195038,1067337,005,30
67606813,1067337,005,1
65000100,1067337,005,1
65000047,1067337,005,1
21087826,1067337,005,16
21087377,1067337,005,20
21038323,1067337,005,28
21031718,1067337,005,1
21087823,1067337,005,12
21141354,1067337,101,39
21026564,1067337,005,1
21038481,1067337,005,12
20273957,1067337,005,1
21038334,1067337,001,2
21055185,1067337,400,12
65000044,1067337,101,1
65000237,1067337,005,1
20260325,1067337,101,2
67158723,1067337,105,1
20098682,1067337,401,2
21087372,1067337,005,1
67613440,1067337,001,2
21141352,1067337,001,1
65000043,1067337,411,60
21141183,1067337,005,1
65000178,1067337,005,1
67158725,1067337,005,24
67526330,1067337,101,48
67898916,1067337,101,48
68148519,1067337,101,48
65000209,1067337,105,2
21051153,1067337,005,1
68644416,1067337,001,1
21189377,1067337,005,1
68362180,1067337,401,2
67500261,1067337,405,1
21087819,1067337,111,16
21141359,1067337,005,1
21087822,1067338,401,60
20273957,1067338,001,3
65025137,1067338,111,32
21038480,1067338,411,54
65000058,1067338,401,1
21141201,1067338,005,1
20098682,1067338,005,16
21152627,1067338,105,2
65000209,1067338,101,2
65000043,1067338,005,1
21090467,1067338,005,1
68362155,1067338,005,28
21031712,1067338,001,24
20260325,1067338,005,1
21087824,1067338,005,20
65000050,1067338,005,1
65000048,1067338,005,1
21142889,1067338,005,1
21031721,1067338,401,2
21087826,1067338,005,36
21018875,1067338,005,1
68362181,1067338,005,1
65000302,1067338,005,1
68520973,1067338,005,1
65000178,1067338,005,1
20271671,1067338,005,20
20271665,1067338,005,1
21038481,1067338,001,16
67526330,1067338,005,30
67898916,1067338,005,30
68148519,1067338,005,30
21071761,1067338,001,1
20296453,1067338,001,24
21031713,1067338,005,1
65000237,1067338,011,3
21055185,1067338,405,1
21087366,1067338,005,6
65000099,1067338,101,2
21031722,1067338,400,12
21038318,1067338,101,48
65000103,1067338,001,16
68421177,1067338,011,3
68362158,1067338,101,20
68644416,1067338,005,1
21026564,1067338,101,48
21088946,1067338,401,48
65038606,1067338,005,1
20103643,1067338,005,1
21152629,1067338,105,2
65000174,1067338,005,1
21087825,1067338,011,3
21038476,1067338,005,12
21087365,1067338,105,2
21028784,1067338,105,2
65000323,1067338,005,24
65000311,1067338,005,1
21188999,1067338,401,2
21031720,1067338,005,1
65000052,1067338,401,2
20064019,1067338,005,1
67158725,1067338,005,12
21087368,1067339,005,1
68195031,1067339,111,41
21141359,1067339,400,12
21087379,1067339,005,1
65000052,1067339,005,36
21038477,1067339,005,12
21088945,1067339,005,12
21087826,1067339,005,2
65000209,1067339,101,356
67017903,1067339,005,30
21028784,1067339,005,2736
21141355,1067339,005,28
21141184,1067339,005,1
21038318,1067339,401,5900
65000309,1067339,001,848
65000237,1067339,005,3
21189377,1067339,005,19
21152627,1067339,001,125
21038480,1067339,401,33
21039239,1067339,005,25
20271671,1067339,005,60
68558777,1067339,005,1
21095090,1067339,401,3240
67014611,1067339,001,180
20098682,1067339,001,35
20260325,1067339,101,4056
21038323,1067339,005,30
21026564,1067339,005,6
21141183,1067339,005,1
20271665,1067339,005,40
65000058,1067339,005,16
68520973,1067339,005,10
21189303,1067339,105,48
65000062,1067339,001,1800
21087366,1067339,105,44
20276672,1067339,011,2124
21142890,1067339,005,2
21087819,1067339,005,11
21189002,1067339,101,3004
65000323,1067339,005,1
65025035,1067339,001,2142
68362158,1067339,411,316
21088946,1067339,401,11
21071761,1067339,405,65
67158725,1067339,005,1
65025137,1067339,111,4848
21031719,1067339,401,33
20272817,1067339,005,1
21141200,1067339,105,48
21189189,1067339,401,4950
21038320,1067339,105,51
65000047,1067339,001,864
20223740,1067339,101,880
20223744,1067339,101,880
21031722,1067339,005,1
65025136,1067339,001,77
21087822,1067339,005,39
21087374,1067339,001,44
65000176,1067339,005,5012
21087816,1067339,001,313
21135330,1067339,011,258
65000098,1067339,005,10
21031718,1067339,005,29
65000101,1067339,001,96
65000207,1067339,001,960
20280036,1067340,105,2
20271671,1067340,005,36
21090926,1067340,005,1
21189196,1067340,105,2
65000313,1067340,005,1
20067720,1067340,011,2
21142889,1067340,005,2
65000237,1067340,401,18
65000301,1067340,401,2
21189185,1067340,005,1
21018875,1067340,001,1
21087825,1067340,005,1
65025031,1067340,101,16
67526330,1067340,005,16
67898916,1067340,005,16
68148519,1067340,005,16
21031719,1067340,005,1
20064019,1067340,005,1
21031712,1067340,011,2
21028785,1067340,011,2
65000103,1067340,401,2
65000044,1067340,005,1
21038334,1067340,101,24
65038603,1067340,005,28
68594505,1067340,005,1
68520973,1067340,105,2
20276672,1067340,005,24
21038482,1067340,005,1
21068907,1067340,001,24
21088945,1067340,401,2
20296453,1067340,005,6
68362158,1067340,401,24
65000173,1067340,401,20
21038483,1067340,005,20
21028787,1067340,001,1
21135330,1067340,005,12
21087372,1067340,005,1
65000100,1067340,005,1
65000102,1067340,005,1
21090468,1067340,005,12
65000046,1067340,005,1
21141200,1067340,001,2
20280037,1067340,101,2
21141356,1067340,005,2
68362181,1067340,400,12
21087379,1067340,001,24
21088608,1067340,111,1
65000058,1067340,005,1
68362154,1067340,405,4
65000207,1067340,101,24
67014611,1067340,411,2
21087820,1067340,005,1
21087822,1067340,005,30
65000175,1067340,005,1
65000047,1067340,005,1
20093126,1067340,005,1
21141202,1067340,005,20
67158727,1067340,101,12
21055185,1067340,105,3
21189002,1067340,005,1
68520982,1067340,005,24
20093128,1067341,005,13
20276669,1067341,005,17
21031722,1067341,001,400
21087826,1067341,400,12
20271669,1067341,001,105
21028789,1067341,005,880
65000101,1067341,111,1264
65000301,1067341,001,208
67052108,1067341,001,96
21141359,1067341,005,1
65000313,1067341,011,240
65000237,1067341,005,2
67606813,1067341,005,1
21090467,1067341,005,6
21141610,1067341,005,3612
21189189,1067341,401,5490
20271671,1067341,411,888
21038323,1067341,001,468
21087379,1067341,001,247
21141202,1067341,105,34
21031723,1067341,005,3
21141354,1067341,011,39
21028787,1067341,005,1
65000048,1067341,101,233
20296649,1067341,005,660
21141184,1067341,411,40
21087815,1067341,005,5
21068907,1067341,011,840
21031712,1067341,001,360
65000176,1067341,011,2304
21189002,1067341,001,144
21087823,1067341,111,3201
67386922,1067341,005,990
67386924,1067341,005,990
21031719,1067341,411,2680
20093126,1067341,005,936
21087821,1067341,005,1
21055185,1067341,005,1
65000100,1067341,005,2
67158723,1067341,105,42
21038320,1067341,005,8
21087822,1067341,011,528
65000209,1067341,101,2856
21028785,1067341,005,1
21051152,1067341,005,16
21031713,1067341,005,1368
21189303,1067341,401,17
65000097,1067341,011,840
20296453,1067341,401,222
65000178,1067341,001,120
21026564,1067341,005,1
21141353,1067341,005,1
65000045,1067341,005,1
67158725,1067341,005,40
68362156,1067341,005,12
21087368,1067341,005,1
65000208,1067341,405,48
68362155,1067341,111,41
20271670,1067341,005,15
21189185,1067341,105,38
65038603,1067341,005,8
65000315,1067341,401,35
21038482,1067341,005,1
21039240,1067341,005,17
21141183,1067341,101,3888
21039239,1067341,011,2178
65000323,1067341,105,34
21031721,1067342,005,24
21036758,1067342,005,28
21087379,1067342,001,4
21189303,1067342,005,1
21188999,1067342,005,1
68520973,1067342,411,6
21088945,1067342,005,1
21031718,1067342,411,3
68362182,1067342,105,3
21141356,1067342,405,2
65000103,1067342,005,1
65000237,1067342,001,3
21038480,1067342,005,1
21087824,1067342,001,5
20098682,1067342,401,36
21038318,1067342,005,20
21038483,1067342,005,20
21038320,1067342,005,6
21087816,1067342,005,1
65000044,1067342,005,1
21087820,1067342,005,1
21142889,1067342,111,48
21028785,1067342,401,1
68362155,1067342,005,1
65000207,1067342,005,1
21135330,1067342,005,16
21068907,1067342,005,1
20067720,1067342,001,7
65000101,1067342,401,40
65000045,1067342,001,3
21152627,1067342,005,1
20093128,1067342,111,6
21087821,1067342,005,1
68594505,1067342,011,5
21028787,1067342,400,12
20103643,1067342,011,3
67500261,1067342,005,1
21087368,1067342,005,12
21051151,1067342,011,24
65036972,1067342,011,24
65000311,1067342,005,1
21038323,1067342,105,2
21031722,1067342,005,24
68362159,1067342,005,1
65000050,1067342,001,3
20271665,1067342,105,3
65000046,1067342,001,4
21087366,1067342,401,2
67386922,1067342,001,48
67386924,1067342,001,48
21095090,1067342,001,3
67014611,1067342,005,36
67526330,1067342,005,1
67898916,1067342,005,1
68148519,1067342,005,1
21028786,1067342,111,3
21031719,1067342,005,12
68362156,1067342,105,2
65000098,1067342,101,48
68362158,1067342,001,2
67158727,1067342,001,4
21087826,1067342,005,30
65000097,1067342,005,1
65000309,1067342,001,3
