uid,uniqueId,SQ
259862,20032404,5
259862,20062163,4
259862,20064699,10
259862,20065927,8
259862,20066269,10
259862,20067656,7
259862,20067848,9
259862,20071492,3
259862,20074435,6
259862,20078369,10
259862,20086694,5
259862,20089829,10
259862,20093572,3
259862,20095115,6
259862,20095438,9
259862,20096662,3
259862,20099677,8
259862,20100558,9
259862,20102013,4
259862,20102036,7
259862,20102564,5
259862,20102753,4
259862,20103078,9
259862,20103282,3
259862,20103920,1
259862,20104085,6
259862,20104399,10
259862,20104470,1
259862,20104903,4
259862,20105746,7
259862,20106270,1
259862,20106476,7
259862,20106577,8
259862,20106841,2
259862,20106962,3
259862,20108111,2
259862,20108343,4
259862,20108383,4
259862,20108699,10
259862,20110480,1
259862,20111288,9
259862,20111667,8
259862,20205251,2
259862,20211360,1
259862,20211616,7
259862,20217720,1
259862,20223158,9
259862,20223667,8
259862,20224199,10
259862,20224694,5
259862,20229694,5
259862,20230453,4
259862,20230466,7
259862,20231309,10
259862,20231592,3
259862,20237841,2
259862,20241671,2
259862,20249494,5
259862,20249731,2
259862,20250047,8
259862,20270337,8
259862,20273770,1
259862,20274134,5
259862,20276898,9
259862,20277724,5
259862,20278316,7
259862,20278645,6
259862,20280818,9
259862,20284537,8
259862,20288607,8
259862,20289140,1
259862,20296053,4
259862,20296110,1
259862,20296251,2
259862,21004003,4
259862,21010147,8
259862,21010857,8
259862,21019597,8
259862,21037191,2
259862,21037879,10
259862,21041727,8
259862,21068322,3
259862,21069339,10
259862,21070781,2
259862,21070924,5
259862,21073248,9
259862,21074505,6
259862,21075131,2
259862,21075353,4
259862,21081955,6
259862,21089686,7
259862,21102212,3
259862,21105518,9
259862,21112367,8
259862,21117689,10
259862,21128774,5
259862,21130118,9
259862,21130330,1
259862,21142721,2
259862,21146333,4
259862,21187263,4
259862,60024541,2
259862,60024793,4
259862,60029146,7
259862,60029206,7
259862,62039274,5
259862,62039287,8
259862,62039304,5
259862,62039377,8
259862,62052221,2
259862,62052223,4
259862,62052260,1
259862,62070413,4
259862,62070487,8
259862,62070762,3
259862,62071498,9
259862,62071529,10
259862,62071782,3
259862,62071981,2
259862,62080100,1
259862,62080122,3
259862,62080216,7
259862,62080269,10
259862,64001637,8
259862,64019659,10
259862,64025082,3
259862,64028096,7
259862,65001272,3
259862,65001366,7
259862,65001853,4
259862,65002422,3
259862,65002856,7
259862,65002996,7
259862,65004534,5
259862,65023634,5
259862,65023847,8
259862,65024840,1
259862,65024974,5
259862,65037222,3
259862,65039601,2
259862,66810415,6
259862,66815383,4
259862,66815526,7
259862,66817730,1
259862,66818144,5
259862,66818225,6
259862,66819541,2
259862,66819991,2
259862,66821088,9
259862,66822537,8
259862,70000070,1
259862,70000334,5
259862,70000777,8
259862,70000890,1
259862,70000920,1
259862,75014825,6
259862,75018196,7
259862,75018606,7
259862,75019793,4
259862,75019951,2
259862,75020361,2
259862,75020472,3
259862,75020979,10
259862,75024101,2
259862,76011553,4
259862,76012446,7
259862,G0000231,2
259862,G0000915,6
259862,G0000945,6
259862,G0001093,4
259862,G0001191,2
259862,G0001421,2
259862,G0001508,9
259862,20005148,9
259862,20060871,2
259862,20062870,1
259862,20063914,5
259862,20067510,1
259862,20068217,8
259862,20072433,4
259862,20078260,1
259862,20080164,5
259862,20083566,7
259862,20083744,5
259862,20086953,4
259862,20087417,8
259862,20090381,2
259862,20092794,5
259862,20094677,8
259862,20094738,9
259862,20095848,9
259862,20097507,8
259862,20098275,6
259862,20099189,10
259862,20099210,1
259862,20100090,1
259862,20101494,5
259862,20102068,9
259862,20102312,3
259862,20102345,6
259862,20102363,4
259862,20102760,1
259862,20103020,1
259862,20103192,3
259862,20103266,7
259862,20103357,8
259862,20104095,6
259862,20104671,2
259862,20105167,8
259862,20105542,3
259862,20106008,9
259862,20106026,7
259862,20106478,9
259862,20107341,2
259862,20109868,9
259862,20111321,2
259862,20111511,2
259862,20111528,9
259862,20202014,5
259862,20205888,9
259862,20215801,2
259862,20227646,7
259862,20250408,9
259862,20251264,5
259862,20252473,4
259862,20252857,8
259862,20255079,10
259862,20257445,6
259862,20260482,3
259862,20260484,5
259862,20260570,1
259862,20260706,7
259862,20264846,7
259862,20267167,8
259862,20268255,6
259862,20268648,9
259862,20276006,7
259862,20276740,1
259862,20281077,8
259862,20290086,7
259862,20291995,6
259862,20293731,2
259862,20293732,3
259862,20297372,3
259862,21010649,10
259862,21011670,1
259862,21011976,7
259862,21012559,10
259862,21015405,6
259862,21023987,8
259862,21037997,8
259862,21045595,6
259862,21046438,9
259862,21050181,2
259862,21053383,4
259862,21054432,3
259862,21056543,4
259862,21063033,4
259862,21063744,5
259862,21068819,10
259862,21070836,7
259862,21071481,2
259862,21073053,4
259862,21073912,3
259862,21075376,7
259862,21082360,1
259862,21089701,2
259862,21091031,2
259862,21100333,4
259862,21117585,6
259862,21124377,8
259862,21129666,7
259862,21133140,1
259862,21133272,3
259862,21133327,8
259862,21134880,1
259862,21135177,8
259862,21136222,3
259862,21137999,10
259862,21139925,6
259862,21141766,7
259862,21142379,10
259862,21145781,2
259862,21146273,4
259862,21148025,6
259862,21156202,3
259862,32866141,2
259862,60024755,6
259862,62009297,8
259862,62019205,6
259862,62019228,9
259862,62019440,1
259862,62019537,8
259862,62019569,10
259862,62019886,7
259862,62039674,5
259862,62040030,1
259862,62040735,6
259862,62040953,4
259862,62041805,6
259862,62051038,9
259862,62051109,10
259862,62070549,10
259862,62070712,3
259862,62070795,6
259862,62070912,3
259862,62071140,1
259862,62071310,1
259862,62071403,4
259862,62071466,7
259862,62071473,4
259862,62071756,7
259862,62080233,4
259862,62080304,5
259862,64000868,9
259862,64001353,4
259862,64001417,8
259862,64002619,10
259862,64002694,5
259862,64002874,5
259862,64022708,9
259862,64022848,9
259862,64024663,4
259862,64025163,4
259862,64027942,3
259862,64028153,4
259862,65000313,4
259862,65002053,4
259862,65002291,2
259862,65004688,9
259862,65023312,3
259862,65023703,4
259862,65023991,2
259862,66810350,1
259862,66811656,7
259862,66814012,3
259862,66815308,9
259862,66815677,8
259862,66816366,7
259862,66816564,5
259862,66816567,8
259862,66819272,3
259862,66819285,6
259862,66820273,4
259862,66820767,8
259862,66820817,8
259862,66820837,8
259862,66822271,2
259862,70000126,7
259862,70000157,8
259862,70000179,10
259862,70000631,2
259862,70000694,5
259862,70000764,5
259862,75016215,6
259862,75018324,5
259862,75018742,3
259862,75018747,8
259862,75019401,2
259862,75019924,5
259862,75020154,5
259862,76011559,10
259862,76012370,1
259862,76012820,1
259862,76013858,9
259862,G0000030,1
259862,G0000697,8
259862,G0000893,4
259862,G0001468,9
259862,20062454,5
259862,20063832,3
259862,20063911,2
259862,20064020,1
259862,20064993,4
259862,20065172,3
259862,20066568,9
259862,20068204,5
259862,20070237,8
259862,20071585,6
259862,20073369,10
259862,20073964,5
259862,20075619,10
259862,20076239,10
259862,20083781,2
259862,20090064,5
259862,20093517,8
259862,20094828,9
259862,20101003,4
259862,20101012,3
259862,20101032,3
259862,20101117,8
259862,20101423,4
259862,20102040,1
259862,20102428,9
259862,20102647,8
259862,20103079,10
259862,20103297,8
259862,20103528,9
259862,20103919,10
259862,20104086,7
259862,20104308,9
259862,20104422,3
259862,20104834,5
259862,20105231,2
259862,20105845,6
259862,20106085,6
259862,20106139,10
259862,20106387,8
259862,20106428,9
259862,20107820,1
259862,20108739,10
259862,20108778,9
259862,20200691,2
259862,20206253,4
259862,20207727,8
259862,20209738,9
259862,20212016,7
259862,20212560,1
259862,20224837,8
259862,20226044,5
259862,20232350,1
259862,20233797,8
259862,20243691,2
259862,20247284,5
259862,20248990,1
259862,20249833,4
259862,20251628,9
259862,20252149,10
259862,20253981,2
259862,20264907,8
259862,20272742,3
259862,20276478,9
259862,20277217,8
259862,20277451,2
259862,20278004,5
259862,20289430,1
259862,20293729,10
259862,20297371,2
259862,20298935,6
259862,21003484,5
259862,21008592,3
259862,21011383,4
259862,21011790,1
259862,21015403,4
259862,21024886,7
259862,21025174,5
259862,21036373,4
259862,21036816,7
259862,21040845,6
259862,21041731,2
259862,21069312,3
259862,21070902,3
259862,21071375,6
259862,21071686,7
259862,21073945,6
259862,21074783,4
259862,21076001,2
259862,21081593,4
259862,21083768,9
259862,21103091,2
259862,21107375,6
259862,21116399,10
259862,21122307,8
259862,21130336,7
259862,21131281,2
259862,21133288,9
259862,21134529,10
259862,21134996,7
259862,21138170,1
259862,21141220,1
259862,21141352,3
259862,21142258,9
259862,30263460,1
259862,60024627,8
259862,60027285,6
259862,62009094,5
259862,62009343,4
259862,62019121,2
259862,62019218,9
259862,62019313,4
259862,62019843,4
259862,62039720,1
259862,62039824,5
259862,62040134,5
259862,62051107,8
259862,62051224,5
259862,62052006,7
259862,62052060,1
259862,62052168,9
259862,62070426,7
259862,62070494,5
259862,62070735,6
259862,62070969,10
259862,62071095,6
259862,62071433,4
259862,62071781,2
259862,62072065,6
259862,62080308,9
259862,64000107,8
259862,64000273,4
259862,64001488,9
259862,64002331,2
259862,64002571,2
259862,64019104,5
259862,64027479,10
259862,64030935,6
259862,64031121,2
259862,65001354,5
259862,65002160,1
259862,65002648,9
259862,65023255,6
259862,65023379,10
259862,65023638,9
259862,65024924,5
259862,65037090,1
259862,65104453,4
259862,66810148,9
259862,66812848,9
259862,66813426,7
259862,66816195,6
259862,66818033,4
259862,66818255,6
259862,66821397,8
259862,70000321,2
259862,70000323,4
259862,70000661,2
259862,70000667,8
259862,70000928,9
259862,75013788,9
259862,75018728,9
259862,75021005,6
259862,76011706,7
259862,76011751,2
259862,76013590,1
259862,76014079,10
259862,77880311,2
259862,G0000337,8
259862,G0000425,6
259862,G0000450,1
259862,G0000637,8
259862,G0000950,1
259862,G0001306,7
259862,G0001394,5
259862,20063193,4
259862,20063207,8
259862,20063548,9
259862,20064620,1
259862,20066769,10
259862,20070316,7
259862,20070497,8
259862,20071857,8
259862,20075740,1
259862,20077904,5
259862,20082312,3
259862,20083749,10
259862,20091425,6
259862,20094019,10
259862,20095154,5
259862,20100261,2
259862,20100449,10
259862,20100593,4
259862,20101220,1
259862,20101701,2
259862,20102197,8
259862,20102513,4
259862,20104513,4
259862,20104590,1
259862,20105499,10
259862,20105984,5
259862,20106024,5
259862,20108470,1
259862,20108612,3
259862,20109319,10
259862,20109652,3
259862,20211561,2
259862,20211606,7
259862,20217728,9
259862,20228332,3
259862,20229306,7
259862,20232363,4
259862,20238069,10
259862,20242015,6
259862,20245719,10
259862,20245799,10
259862,20246551,2
259862,20246648,9
259862,20247830,1
259862,20248469,10
259862,20248652,3
259862,20251625,6
259862,20251932,3
259862,20252315,6
259862,20252376,7
259862,20254713,4
259862,20254967,8
259862,20260068,9
259862,20264867,8
259862,20266945,6
259862,20268264,5
259862,20269139,10
259862,20272677,8
259862,20273185,6
259862,20274960,1
259862,20276155,6
259862,20277366,7
259862,20277723,4
259862,20279965,6
259862,20283312,3
259862,20294485,6
259862,20296529,10
259862,21004112,3
259862,21010243,4
259862,21010505,6
259862,21011477,8
259862,21012098,9
259862,21014648,9
259862,21023436,7
259862,21024973,4
259862,21035384,5
259862,21035761,2
259862,21037257,8
259862,21038323,4
259862,21041733,4
259862,21062601,2
259862,21063280,1
259862,21068696,7
259862,21070662,3
259862,21071683,4
259862,21072230,1
259862,21073078,9
259862,21080186,7
259862,21082712,3
259862,21107953,4
259862,21108425,6
259862,21109290,1
259862,21133822,3
259862,21135000,1
259862,21137771,2
259862,21137996,7
259862,21138204,5
259862,21142833,4
259862,21146164,5
259862,21159705,6
259862,32866140,1
259862,60923353,4
259862,61062940,1
259862,62019419,10
259862,62019506,7
259862,62019571,2
259862,62039175,6
259862,62039340,1
259862,62039420,1
259862,62039470,1
259862,62039491,2
259862,62039778,9
259862,62050182,3
259862,62052131,2
259862,62070746,7
259862,62070916,7
259862,62071394,5
259862,62071522,3
259862,62071681,2
259862,62071751,2
259862,62071815,6
259862,62071997,8
259862,62072061,2
259862,62080317,8
259862,64025558,9
259862,64026681,2
259862,64027969,10
259862,65001536,7
259862,65002892,3
259862,65004721,2
259862,65024746,7
259862,65025627,8
259862,65037054,5
259862,65039331,2
259862,65039520,1
259862,65039949,10
259862,66812335,6
259862,66812616,7
259862,66812802,3
259862,66813802,3
259862,66814122,3
259862,66820024,5
259862,66821757,8
259862,66822547,8
259862,68902209,10
259862,75015337,8
259862,75017635,6
259862,75019753,4
259862,75019928,9
259862,75020137,8
259862,76011630,1
259862,76011649,10
259862,76013479,10
259862,76014022,3
259862,76014230,1
259862,G0000013,4
259862,G0000471,2
259862,G0000533,4
259862,G0000718,9
259862,G0000920,1
259862,G0001559,10
259862,G0001578,9
259862,20068888,9
259862,20070321,2
259862,20071356,7
259862,20074464,5
259862,20076729,10
259862,20077038,9
259862,20078310,1
259862,20083752,3
259862,20084201,2
259862,20084593,4
259862,20091177,8
259862,20091738,9
259862,20097897,8
259862,20098685,6
259862,20100839,10
259862,20101080,1
259862,20102265,6
259862,20102576,7
259862,20103533,4
259862,20104099,10
259862,20104438,9
259862,20104523,4
259862,20105075,6
259862,20105597,8
259862,20105758,9
259862,20106136,7
259862,20106431,2
259862,20106805,6
259862,20109397,8
259862,20109434,5
259862,20110132,3
259862,20110217,8
259862,20111097,8
259862,20111478,9
259862,20111656,7
259862,20111668,9
259862,20200982,3
259862,20201018,9
259862,20207384,5
259862,20212427,8
259862,20213403,4
259862,20229638,9
259862,20229802,3
259862,20230431,2
259862,20237307,8
259862,20237956,7
259862,20239074,5
259862,20245552,3
259862,20249718,9
259862,20249925,6
259862,20254024,5
259862,20256155,6
259862,20269131,2
259862,20272594,5
259862,20276157,8
259862,20277824,5
259862,20284530,1
259862,20286189,10
259862,20288139,10
259862,20296321,2
259862,20296636,7
259862,21008192,3
259862,21011428,9
259862,21011484,5
259862,21011567,8
259862,21023634,5
259862,21024430,1
259862,21024758,9
259862,21024874,5
259862,21025133,4
259862,21026021,2
259862,21029095,6
259862,21036019,10
259862,21055649,10
259862,21063028,9
259862,21068094,5
259862,21070161,2
259862,21070956,7
259862,21072015,6
259862,21073697,8
259862,21075394,5
259862,21075982,3
259862,21077225,6
259862,21079785,6
259862,21079874,5
259862,21080256,7
259862,21080802,3
259862,21109824,5
259862,21113413,4
259862,21130334,5
259862,21133511,2
259862,21134530,1
259862,21135795,6
259862,21138869,10
259862,21140123,4
259862,21145261,2
259862,32003611,2
259862,32003678,9
259862,60023403,4
259862,62019130,1
259862,62019407,8
259862,62028009,10
259862,62039677,8
259862,62040058,9
259862,62040072,3
259862,62040364,5
259862,62040697,8
259862,62040779,10
259862,62040783,4
259862,62060027,8
259862,62070013,4
259862,62071073,4
259862,62071349,10
259862,62071542,3
259862,62071660,1
259862,62071685,6
259862,62071700,1
259862,62071773,4
259862,62071843,4
259862,62071928,9
259862,62072014,5
259862,62080116,7
259862,64000708,9
259862,64002617,8
259862,64021220,1
259862,64027424,5
259862,65023651,2
259862,65023781,2
259862,65025612,3
259862,65039581,2
259862,65039627,8
259862,65039957,8
259862,66811648,9
259862,66812417,8
259862,66817149,10
259862,66818805,6
259862,66818976,7
259862,66819334,5
259862,66820485,6
259862,66821121,2
259862,67000578,9
259862,67020053,4
259862,70000703,4
259862,70000773,4
259862,75012159,10
259862,75014249,10
259862,75014578,9
259862,75015890,1
259862,75018122,3
259862,75019482,3
259862,75019545,6
259862,75020927,8
259862,75020976,7
259862,75025045,6
259862,75028501,2
259862,76011487,8
259862,76011816,7
259862,76011976,7
259862,76012333,4
259862,76013735,6
259862,G0000232,3
259862,G0001060,1
259862,G0001197,8
259862,G0001249,10
259862,G0001287,8
259862,20061088,9
259862,20062524,5
259862,20075402,3
259862,20076499,10
259862,20080126,7
259862,20081643,4
259862,20084277,8
259862,20084928,9
259862,20093647,8
259862,20095547,8
259862,20099039,10
259862,20100126,7
259862,20100135,6
259862,20100614,5
259862,20101262,3
259862,20102037,8
259862,20102639,10
259862,20102773,4
259862,20103381,2
259862,20105073,4
259862,20105305,6
259862,20105589,10
259862,20106206,7
259862,20106774,5
259862,20109276,7
259862,20110175,6
259862,20200700,1
259862,20201424,5
259862,20206181,2
259862,20209369,10
259862,20209616,7
259862,20211354,5
259862,20212026,7
259862,20221743,4
259862,20224464,5
259862,20229822,3
259862,20237401,2
259862,20240324,5
259862,20240958,9
259862,20246714,5
259862,20247326,7
259862,20249490,1
259862,20252854,5
259862,20270520,1
259862,20273219,10
259862,20282707,8
259862,20292808,9
259862,21010774,5
259862,21023729,10
259862,21035386,7
259862,21037056,7
259862,21037416,7
259862,21039801,2
259862,21041755,6
259862,21045773,4
259862,21063747,8
259862,21068869,10
259862,21068968,9
259862,21068977,8
259862,21069180,1
259862,21070820,1
259862,21072082,3
259862,21072870,1
259862,21087297,8
259862,21109291,2
259862,21133649,10
259862,21133928,9
259862,21134926,7
259862,21135257,8
259862,21139798,9
259862,21145087,8
259862,21145598,9
259862,21151387,8
259862,21156351,2
259862,32003603,4
259862,32008752,3
259862,32009345,6
259862,60027290,1
259862,60029761,2
259862,62009151,2
259862,62009206,7
259862,62019331,2
259862,62040283,4
259862,62052007,8
259862,62052218,9
259862,62052272,3
259862,62060010,1
259862,62070436,7
259862,62071350,1
259862,62071511,2
259862,62071635,6
259862,62071641,2
259862,62071717,8
259862,62072034,5
259862,62080517,8
259862,62080969,10
259862,63603204,5
259862,64000767,8
259862,64001464,5
259862,64002956,7
259862,64012406,7
259862,65001976,7
259862,65002095,6
259862,65024660,1
259862,65037020,1
259862,65039596,7
259862,66811696,7
259862,66817211,2
259862,66818268,9
259862,66818802,3
259862,66821083,4
259862,66822932,3
259862,67806011,2
259862,70000450,1
259862,70000621,2
259862,75018482,3
259862,75018772,3
259862,75021083,4
259862,76011476,7
259862,76011673,4
259862,76012585,6
259862,76014202,3
259862,76014248,9
259862,G0000014,5
259862,G0000561,2
259862,20062440,1
259862,20062502,3
259862,20065693,4
259862,20068221,2
259862,20069108,9
259862,20071740,1
259862,20072969,10
259862,20073368,9
259862,20075418,9
259862,20077056,7
259862,20083859,10
259862,20086945,6
259862,20091442,3
259862,20093574,5
259862,20095105,6
259862,20097468,9
259862,20098262,3
259862,20101409,10
259862,20101658,9
259862,20101736,7
259862,20102019,10
259862,20102248,9
259862,20102368,9
259862,20103852,3
259862,20103952,3
259862,20105598,9
259862,20105899,10
259862,20106366,7
259862,20106384,5
259862,20107227,8
259862,20108181,2
259862,20201006,7
259862,20209045,6
259862,20213587,8
259862,20216954,5
259862,20224866,7
259862,20228253,4
259862,20229542,3
259862,20229770,1
259862,20229797,8
259862,20238518,9
259862,20238587,8
259862,20244268,9
259862,20246253,4
259862,20260605,6
259862,20263142,3
259862,20263145,6
259862,20263447,8
259862,20268663,4
259862,20271417,8
259862,20288679,10
259862,20289234,5
259862,20296048,9
259862,21005439,10
259862,21023676,7
259862,21030601,2
259862,21035221,2
259862,21036365,6
259862,21039113,4
259862,21045882,3
259862,21062581,2
259862,21069876,7
259862,21070865,6
259862,21070925,6
259862,21071489,10
259862,21074312,3
259862,21079523,4
259862,21102931,2
259862,21112984,5
259862,21115490,1
259862,21116498,9
259862,21133303,4
259862,21133672,3
259862,21135256,7
259862,21135759,10
259862,21135868,9
259862,21135927,8
259862,21136969,10
259862,21138416,7
259862,21141609,10
259862,21145783,4
259862,21148870,1
259862,21161321,2
259862,21166679,10
259862,21182165,6
259862,62010090,1
259862,62019547,8
259862,62039481,2
259862,62039728,9
259862,62040042,3
259862,62040050,1
259862,62040251,2
259862,62040338,9
259862,62040376,7
259862,62040959,10
259862,62052143,4
259862,62070695,6
259862,62071292,3
259862,62071825,6
259862,62080179,10
259862,62080712,3
259862,64001165,6
259862,64022669,10
259862,64027473,4
