uid,uniqueId,SQ
196572,20067847,8
196572,68299597,8
196572,68456676,7
196572,68461627,8
196572,68666459,10
196572,67867904,5
196572,67706449,10
196572,68696183,4
196572,21134809,10
196572,21156198,9
196572,20098274,5
196572,20071165,6
196572,21183587,8
196572,67002878,9
196572,68507769,10
196572,20067849,10
196572,68480195,6
196572,20110958,9
196572,68278938,9
196572,67756763,4
196572,21131360,1
196572,67766816,7
196572,68392957,8
196572,21152399,10
196572,68593200,1
196572,68645586,7
196572,21156200,1
196572,67756765,6
196572,20217318,9
196572,67766811,2
196572,20071164,5
196572,67871279,10
196572,68129973,4
196572,20221636,7
196572,20070252,3
196572,21183585,6
196572,21023632,3
196572,75017961,2
196572,21149863,4
196572,68666466,7
196572,67725303,4
196572,67876424,5
196572,68447891,2
196572,68792386,7
196572,21145273,4
196572,75019835,6
196572,21138871,2
196572,21145261,2
196572,68299595,6
196572,68282919,10
196572,21010275,6
196572,21156201,2
196572,67469820,1
196572,68272980,1
196572,20062262,3
196572,68499298,9
196572,21152595,6
196572,67756761,2
196572,67904085,6
196572,68174288,9
196572,68696180,1
196572,21135330,1
196572,21138791,2
196572,20273183,4
196572,21024490,1
196572,68568521,2
196572,68794625,6
196572,67470401,2
196572,67938986,7
196572,68299590,1
196572,21075422,3
196572,67917297,8
196572,21024425,6
196572,68425737,8
196572,21139707,8
196572,68299591,2
196572,67470382,3
196572,67008676,7
196572,68191090,1
196572,21024488,9
196572,21145080,1
196572,21146350,1
196572,20095537,8
196572,21024834,5
196572,20279992,3
196572,68793776,7
196572,67876463,4
196572,G0001919,10
196572,20280286,7
196572,21145275,6
196572,68670518,9
196572,67397857,8
196572,67823221,2
196572,68272978,9
196572,20098682,3
196572,20296452,3
196572,21141762,3
196572,21145085,6
196572,68370602,3
196572,20241706,7
196572,21134808,9
196572,67823407,8
196572,20108353,4
196572,20280075,6
196572,21154185,6
196572,68501072,3
196572,68621988,9
196572,68282911,2
196572,68282913,4
196572,68345346,7
196572,75020061,2
196572,21073998,9
196572,21149156,7
196572,66814123,4
196572,67823219,10
196572,67008664,5
196572,21036376,7
196572,66814121,2
